geo,family_workers_percent_of_labour_force,time
pak,22.4,1999
pak,21.4,2000
pak,21.4,2001
pak,20.8,2002
pak,20.8,2003
pak,24.2,2004
pak,24.2,2005
pak,26.9,2006
pak,27.2,2007
pan,5.5,1982
pan,4.3,1983
pan,4.5,1984
pan,4.8,1985
pan,4.8,1986
pan,6.2,1987
pan,7.3,1988
pan,6.3,1989
pan,5.2,1991
pan,4.5,1992
pan,4.1,1993
pan,3.3,1994
pan,4.0,1995
pan,3.9,1996
pan,3.5,1997
pan,3.1,1998
pan,2.6,1999
pan,2.6,2000
pan,3.4,2001
pan,3.0,2002
pan,3.4,2003
pan,3.1,2004
pan,3.8,2005
pan,3.6,2006
pan,2.9,2007
pry,0.3,1990
pry,8.7,1997
pry,9.8,2000
pry,12.1,2002
pry,10.1,2003
pry,10.1,2007
per,5.3,1990
per,3.6,1991
per,4.1,1992
per,5.5,1993
per,5.5,1994
per,5.0,1995
per,7.1,1996
per,7.9,1997
per,7.6,1998
per,7.0,1999
per,7.4,2000
per,7.7,2001
per,7.9,2002
per,8.7,2003
per,9.5,2004
per,8.3,2005
per,8.1,2006
per,7.1,2007
phl,13.1,1998
phl,12.7,1999
phl,12.5,2000
phl,13.6,2001
phl,13.2,2002
phl,11.7,2003
phl,11.6,2004
phl,12.7,2005
phl,13.1,2006
phl,12.4,2007
pol,0.0,1980
pol,0.0,1981
pol,0.0,1982
pol,0.0,1983
pol,0.0,1984
pol,0.0,1985
pol,0.0,1986
pol,0.0,1987
pol,0.0,1988
pol,0.0,1989
pol,0.0,1990
pol,0.0,1991
pol,6.6,1992
pol,6.8,1993
pol,6.0,1994
pol,6.0,1995
pol,6.2,1996
pol,5.2,1997
pol,4.8,1998
pol,4.3,1999
pol,5.0,2000
pol,5.2,2001
pol,5.5,2002
pol,5.5,2003
pol,5.5,2004
pol,5.3,2005
pol,4.5,2006
pol,4.2,2007
prt,3.7,1989
prt,3.3,1990
prt,3.7,1991
prt,1.8,1992
prt,1.9,1993
prt,2.2,1994
prt,1.9,1995
