geo,aged_25_54_labour_force_participation_rate_percent,time
dnk,87.9,1984
dnk,89.1,1985
dnk,89.8,1986
dnk,89.6,1987
dnk,90.7,1988
dnk,90.6,1989
dnk,91.2,1990
dnk,91.0,1991
dnk,90.8,1992
dnk,90.0,1993
dnk,87.4,1994
dnk,87.1,1995
dnk,87.6,1996
dnk,87.3,1997
dnk,87.5,1998
dnk,88.3,1999
dnk,88.0,2000
dnk,87.6,2001
dnk,88.2,2002
dnk,87.8,2003
dnk,88.1,2004
dnk,87.6,2005
dnk,88.4,2006
dnk,88.6,2007
dji,82.6,1980
dji,82.5,1981
dji,82.4,1982
dji,82.4,1983
dji,82.5,1984
dji,82.4,1985
dji,82.2,1986
dji,82.2,1987
dji,82.2,1988
dji,82.3,1989
dji,82.5,1990
dji,82.8,1991
dji,83.0,1992
dji,83.1,1993
dji,83.3,1994
dji,83.4,1995
dji,83.3,1996
dji,83.4,1997
dji,83.4,1998
dji,83.5,1999
dji,83.6,2000
dji,83.8,2001
dji,83.9,2002
dji,84.0,2003
dji,84.2,2004
dji,84.4,2005
dji,84.7,2006
dji,84.7,2007
dom,62.0,1980
dom,62.2,1981
dom,62.4,1982
dom,62.5,1983
dom,62.6,1984
dom,62.7,1985
dom,62.7,1986
dom,62.8,1987
dom,62.8,1988
dom,62.8,1989
dom,62.8,1990
dom,62.8,1991
dom,62.8,1992
dom,62.7,1993
dom,64.2,1994
dom,65.8,1995
dom,67.4,1996
dom,69.0,1997
dom,70.6,1998
dom,72.1,1999
dom,73.6,2000
dom,74.9,2001
dom,76.0,2002
dom,76.2,2003
dom,76.0,2004
dom,76.4,2005
dom,78.0,2006
dom,78.3,2007
tls,77.9,1980
tls,77.7,1981
tls,77.5,1982
tls,77.3,1983
tls,77.2,1984
tls,77.0,1985
tls,76.9,1986
tls,76.7,1987
tls,76.6,1988
tls,76.5,1989
tls,76.4,1990
tls,76.4,1991
tls,76.4,1992
tls,76.5,1993
tls,76.6,1994
tls,77.0,1995
tls,77.4,1996
tls,78.1,1997
tls,78.8,1998
tls,79.5,1999
tls,79.9,2000
tls,80.1,2001
tls,80.0,2002
tls,79.8,2003
tls,79.7,2004
tls,79.6,2005
tls,79.6,2006
tls,80.4,2007
ecu,60.1,1980
ecu,60.2,1981
ecu,57.2,1982
ecu,58.2,1983
ecu,59.3,1984
ecu,60.4,1985
ecu,61.6,1986
ecu,62.8,1987
