geo,poverty_percent_people_below_2_a_day,time
mda,35.13,2005
mda,11.11,2006
mda,6.61,2007
mda,6.91,2008
mda,7.11,2009
mda,4.35,2010
mne,0.53,2005
mne,0.44,2006
mne,0.45,2007
mne,0.3,2008
mar,28.53,1985
mar,15.9,1991
mar,24.43,1999
mar,24.34,2001
mar,14.03,2007
moz,92.57,1996
moz,90.03,2003
moz,81.77,2008
nam,62.23,1993
nam,51.1,2004
npl,93.63,1985
npl,88.97,1996
npl,77.3,2003
npl,57.25,2010
nic,36.05,1993
nic,31.4,1998
nic,34.38,2001
nic,31.74,2005
ner,91.09,1992
ner,91.55,1994
ner,75.26,2005
ner,75.23,2008
nga,76.96,1986
nga,80.41,1992
nga,86.44,1996
nga,83.08,2004
nga,84.49,2010
pak,89.16,1987
pak,88.18,1991
pak,83.26,1997
pak,66.54,1999
pak,73.91,2002
pak,60.31,2005
pak,60.98,2006
pak,60.19,2008
pan,19.24,1979
pan,31.48,1989
pan,28.58,1991
pan,22.61,1995
pan,21.24,1997
pan,21.13,1998
pan,23.69,2001
pan,20.16,2002
pan,18.99,2003
pan,17.94,2004
pan,16.94,2005
pan,17.74,2006
pan,14.63,2009
pan,13.8,2010
png,57.38,1996
pry,3.54,1990
pry,20.74,1995
pry,21.07,1998
pry,22.05,1999
pry,19.35,2001
pry,27.97,2002
pry,21.2,2003
pry,17.31,2004
pry,14.44,2005
pry,20.68,2006
pry,15.95,2007
pry,13.56,2008
pry,14.23,2009
pry,13.22,2010
per,27.06,1986
per,28.44,1994
per,10.37,1997
per,26.29,1998
per,28.01,1999
per,24.09,2000
per,27.62,2001
per,24.16,2002
per,22.1,2003
per,18.92,2004
per,20.48,2005
per,17.78,2006
per,18.2,2007
per,14.81,2008
per,14.01,2009
per,12.74,2010
phl,61.91,1985
phl,56.92,1988
phl,55.39,1991
phl,52.63,1994
phl,43.83,1997
phl,44.83,2000
phl,43.78,2003
phl,45.04,2006
phl,41.53,2009
pol,0.28,1985
pol,0.22,1987
pol,0.15,1989
pol,0.16,1992
pol,8.48,1993
pol,11.32,1996
pol,0.43,1998
pol,0.44,1999
pol,0.57,2000
pol,0.57,2001
pol,0.58,2002
pol,0.41,2004
pol,0.57,2005
pol,0.31,2006
pol,0.29,2007
pol,0.25,2008
pol,0.2,2009
rou,0.43,1989
rou,1.2,1992
rou,23.25,1994
rou,10.23,1998
rou,17.24,2000
rou,13.52,2001
rou,13.02,2002
rou,10.3,2003
rou,7.2,2004
rou,5.59,2005
rou,4.92,2006
rou,3.56,2007
rou,1.96,2008
rou,1.67,2009
rus,3.94,1988
rus,8.26,1993
rus,9.01,1996
rus,10.54,1999
rus,5.97,2001
rus,3.67,2002
rus,2.95,2003
rus,1.84,2004
rus,1.49,2005
rus,1.22,2006
rus,0.29,2007
rus,0.08,2008
rus,0.05,2009
rwa,88.36,1985
rwa,89.06,2000
rwa,87.43,2006
lca,40.58,1995
stp,54.2,2001
sen,81.53,1991
sen,79.07,1994
sen,71.29,2001
sen,60.36,2005
srb,0.61,2002
srb,0.97,2003
srb,1.14,2004
srb,2.53,2005
srb,0.81,2006
srb,0.59,2007
srb,0.65,2008
srb,0.74,2009
syc,0.0,2000
syc,1.84,2007
sle,74.99,1990
sle,76.08,2003
svk,0.0,1988
svk,0.0,1992
svk,1.36,1996
svk,0.43,2004
svk,0.43,2005
svk,0.14,2006
svk,0.19,2007
svk,0.17,2008
svk,0.12,2009
svn,0.03,1987
svn,0.06,1993
svn,0.04,1998
svn,0.08,2002
svn,0.02,2003
svn,0.1,2004
zaf,41.11,1993
zaf,39.9,1995
zaf,42.9,2000
zaf,35.74,2006
zaf,31.33,2009
lka,51.67,1985
lka,49.5,1991
lka,46.68,1996
lka,39.74,2002
lka,29.13,2007
sdn,44.14,2009
sur,27.2,1999
swz,89.31,1995
swz,81.02,2001
swz,60.4,2010
syr,16.85,2004
tjk,83.65,1999
tjk,68.05,2003
tjk,49.88,2004
tjk,36.95,2007
tjk,27.69,2009
tza,91.31,1992
tza,95.25,2000
tza,87.87,2007
tha,44.05,1981
tha,40.96,1988
tha,37.06,1990
tha,29.99,1992
tha,20.49,1994
tha,14.55,1996
tha,15.31,1998
tha,17.83,1999
tha,18.05,2000
tha,13.4,2002
tha,7.63,2006
tha,4.98,2008
tha,4.58,2009
tls,77.48,2001
tls,72.82,2007
tgo,69.31,2006
tto,8.6,1988
tto,13.53,1992
tun,25.14,1985
tun,19.04,1990
tun,20.39,1995
tun,12.82,2000
tun,8.06,2005
tur,7.68,1987
tur,9.84,1994
tur,9.57,2002
tur,9.96,2003
tur,9.18,2004
tur,6.87,2005
tur,5.71,2006
tur,4.54,2007
tur,4.16,2008
tkm,50.22,1988
tkm,85.71,1993
tkm,49.65,1998
uga,85.91,1989
uga,88.63,1992
uga,85.95,1996
uga,82.67,1999
uga,79.86,2002
uga,75.6,2006
uga,64.74,2009
ukr,14.82,1988
ukr,0.0,1992
ukr,7.97,1995
ukr,8.41,1996
ukr,13.48,1999
ukr,3.41,2002
ukr,1.46,2003
ukr,1.25,2004
ukr,0.48,2005
ukr,0.58,2006
ukr,0.21,2007
