geo,sulfur_emissions_per_person_kg,time
arm,0.4073,1995
arm,0.2448,1996
arm,0.06538,1997
arm,0.5428,1998
arm,0.1378,1999
arm,1.381,2000
abw,1.237,1850
abw,0.8182,1851
abw,1.526,1852
abw,1.362,1853
abw,1.674,1854
abw,1.605,1855
abw,2.189,1856
abw,2.486,1857
abw,2.595,1858
abw,2.43,1859
abw,3.439,1860
abw,3.358,1861
abw,3.722,1862
abw,3.289,1863
abw,4.17,1864
abw,4.086,1865
abw,3.403,1866
abw,4.262,1867
abw,4.095,1868
abw,4.936,1869
abw,4.349,1870
abw,3.937,1871
abw,4.76,1872
abw,4.193,1873
abw,4.686,1874
abw,4.689,1875
abw,5.008,1876
abw,4.373,1877
abw,4.69,1878
abw,4.534,1879
abw,4.072,1880
abw,4.089,1881
abw,4.469,1882
abw,3.305,1883
abw,4.356,1884
abw,3.998,1885
abw,3.704,1886
abw,3.125,1887
abw,3.788,1888
abw,3.012,1889
abw,3.272,1890
abw,3.03,1891
abw,3.43,1892
abw,3.79,1893
abw,3.921,1894
abw,3.941,1895
abw,3.969,1896
abw,3.97,1897
abw,4.765,1898
abw,5.175,1899
abw,5.606,1900
abw,7.29,1901
abw,14.69,1902
abw,22.18,1903
abw,29.59,1904
abw,36.79,1905
abw,42.92,1906
abw,49.35,1907
abw,57.91,1908
abw,65.03,1909
abw,71.96,1910
abw,76.71,1911
abw,142.2,1912
abw,221.8,1913
abw,251.8,1914
abw,273.1,1915
abw,299.7,1916
abw,377.3,1917
abw,400.7,1918
abw,454.5,1919
abw,523.8,1920
abw,547.3,1921
abw,560.4,1922
abw,534.9,1923
abw,532.4,1924
abw,500.1,1925
abw,455.6,1926
abw,385.2,1927
abw,899.5,1928
abw,1088.0,1929
abw,1334.0,1930
abw,1092.0,1931
abw,1046.0,1932
abw,1091.0,1933
abw,1204.0,1934
abw,1357.0,1935
abw,1461.0,1936
abw,1754.0,1937
abw,1767.0,1938
abw,1719.0,1939
abw,1427.0,1940
abw,1821.0,1941
abw,1002.0,1942
abw,1629.0,1943
abw,2139.0,1944
abw,2541.0,1945
abw,2781.0,1946
abw,3142.0,1947
abw,3291.0,1948
abw,3483.0,1949
abw,3724.0,1950
abw,3981.0,1951
abw,3678.0,1952
abw,3280.0,1953
abw,3301.0,1954
abw,3168.0,1955
abw,2925.0,1956
abw,2424.0,1957
abw,2037.0,1958
abw,2038.0,1959
abw,1887.0,1960
abw,1814.0,1961
abw,1716.0,1962
abw,1574.0,1963
abw,1486.0,1964
abw,1356.0,1965
abw,1246.0,1966
abw,1318.0,1967
abw,1231.0,1968
abw,1185.0,1969
abw,1291.0,1970
abw,1037.0,1971
abw,955.6,1972
abw,1082.0,1973
abw,1093.0,1974
abw,656.2,1975
abw,819.6,1976
abw,711.2,1977
abw,685.0,1978
abw,614.7,1979
abw,832.5,1980
abw,668.7,1981
abw,540.8,1982
abw,416.6,1983
abw,362.6,1984
abw,156.5,1985
abw,144.7,1986
abw,174.0,1987
abw,183.6,1988
abw,185.2,1989
abw,198.5,1990
abw,200.7,1991
abw,202.6,1992
abw,204.0,1993
abw,205.5,1994
abw,207.3,1995
abw,208.9,1996
abw,210.6,1997
abw,212.2,1998
abw,213.9,1999
abw,215.6,2000
aus,9.438,1850
aus,7.199,1851
aus,8.073,1852
aus,2.914,1853
aus,1.336,1854
aus,1.217,1855
aus,4.35,1856
aus,4.017,1857
aus,3.769,1858
aus,3.648,1859
aus,4.388,1860
aus,4.331,1861
aus,5.051,1862
aus,5.68,1863
