cholesterol_fat_in_blood_men_mmolperl,geo,time
4.065,cod,1985
4.051,cod,1986
4.037,cod,1987
4.021,cod,1988
4.005,cod,1989
3.989,cod,1990
3.97,cod,1991
3.945,cod,1992
3.917,cod,1993
3.89,cod,1994
3.873,cod,1995
3.858,cod,1996
3.846,cod,1997
3.835,cod,1998
3.823,cod,1999
3.811,cod,2000
3.8,cod,2001
3.791,cod,2002
3.787,cod,2003
3.784,cod,2004
3.781,cod,2005
3.78,cod,2006
3.779,cod,2007
3.78,cod,2008
4.476,cog,1980
4.48,cog,1981
4.487,cog,1982
4.492,cog,1983
4.499,cog,1984
4.5,cog,1985
4.495,cog,1986
4.486,cog,1987
4.476,cog,1988
4.465,cog,1989
4.453,cog,1990
4.444,cog,1991
4.434,cog,1992
4.424,cog,1993
4.409,cog,1994
4.396,cog,1995
4.385,cog,1996
4.371,cog,1997
4.362,cog,1998
4.343,cog,1999
4.328,cog,2000
4.314,cog,2001
4.304,cog,2002
4.298,cog,2003
4.296,cog,2004
4.294,cog,2005
4.295,cog,2006
4.296,cog,2007
4.299,cog,2008
5.036,cok,1980
5.052,cok,1981
5.075,cok,1982
5.094,cok,1983
5.111,cok,1984
5.125,cok,1985
5.139,cok,1986
5.147,cok,1987
5.153,cok,1988
5.154,cok,1989
5.156,cok,1990
5.157,cok,1991
5.158,cok,1992
5.158,cok,1993
5.159,cok,1994
5.156,cok,1995
5.154,cok,1996
5.153,cok,1997
5.153,cok,1998
5.154,cok,1999
5.162,cok,2000
5.17,cok,2001
5.181,cok,2002
5.195,cok,2003
5.208,cok,2004
5.219,cok,2005
5.228,cok,2006
5.236,cok,2007
5.245,cok,2008
4.807,cri,1980
4.799,cri,1981
4.784,cri,1982
4.768,cri,1983
4.753,cri,1984
4.74,cri,1985
4.726,cri,1986
4.713,cri,1987
4.703,cri,1988
4.69,cri,1989
4.679,cri,1990
4.669,cri,1991
4.662,cri,1992
4.662,cri,1993
4.661,cri,1994
4.66,cri,1995
4.66,cri,1996
4.66,cri,1997
4.661,cri,1998
4.663,cri,1999
4.664,cri,2000
4.662,cri,2001
4.661,cri,2002
4.661,cri,2003
4.66,cri,2004
4.656,cri,2005
4.655,cri,2006
4.658,cri,2007
4.659,cri,2008
4.386,civ,1980
4.373,civ,1981
4.36,civ,1982
4.342,civ,1983
4.323,civ,1984
4.307,civ,1985
4.288,civ,1986
4.269,civ,1987
4.25,civ,1988
4.231,civ,1989
4.211,civ,1990
4.191,civ,1991
4.172,civ,1992
4.151,civ,1993
4.136,civ,1994
4.121,civ,1995
4.109,civ,1996
4.101,civ,1997
4.095,civ,1998
4.092,civ,1999
4.088,civ,2000
4.084,civ,2001
4.079,civ,2002
4.073,civ,2003
4.067,civ,2004
4.061,civ,2005
4.054,civ,2006
4.049,civ,2007
4.044,civ,2008
5.398,hrv,1980
5.389,hrv,1981
5.38,hrv,1982
5.369,hrv,1983
5.36,hrv,1984
5.347,hrv,1985
5.338,hrv,1986
5.328,hrv,1987
5.317,hrv,1988
5.307,hrv,1989
5.296,hrv,1990
5.274,hrv,1991
5.248,hrv,1992
5.215,hrv,1993
5.183,hrv,1994
5.155,hrv,1995
5.127,hrv,1996
5.106,hrv,1997
5.084,hrv,1998
5.062,hrv,1999
5.048,hrv,2000
5.035,hrv,2001
5.024,hrv,2002
5.013,hrv,2003
5.005,hrv,2004
4.997,hrv,2005
4.986,hrv,2006
4.98,hrv,2007
4.972,hrv,2008
4.883,cub,1980
4.88,cub,1981
4.877,cub,1982
4.874,cub,1983
4.866,cub,1984
4.864,cub,1985
4.859,cub,1986
4.85,cub,1987
4.842,cub,1988
4.834,cub,1989
4.823,cub,1990
4.802,cub,1991
4.766,cub,1992
4.73,cub,1993
4.695,cub,1994
4.662,cub,1995
4.629,cub,1996
4.599,cub,1997
4.57,cub,1998
4.543,cub,1999
4.516,cub,2000
4.489,cub,2001
4.47,cub,2002
4.443,cub,2003
4.42,cub,2004
4.403,cub,2005
