geo,ratio_of_girls_to_boys_in_primary_and_secondary_education_perc,time
cub,100.3,1996
cub,102.4,1997
cub,100.2,1999
cub,99.55,2000
cub,99.98,2001
cub,97.53,2002
cub,97.18,2003
cub,98.71,2004
cub,98.94,2005
cub,99.34,2006
cub,98.59,2007
cub,98.51,2008
cub,98.54,2009
cub,98.35,2010
cub,98.48,2011
cyp,100.9,1993
cyp,100.6,1994
cyp,100.4,1995
cyp,100.7,1996
cyp,101.2,1997
cyp,101.3,1999
cyp,101.2,2000
cyp,100.6,2001
cyp,101.2,2002
cyp,101.0,2003
cyp,101.1,2004
cyp,100.9,2005
cyp,100.7,2006
cyp,100.6,2007
cyp,100.1,2008
cyp,100.2,2009
cyp,99.88,2010
cze,103.4,1971
cze,103.4,1972
cze,103.4,1973
cze,103.4,1974
cze,103.4,1975
cze,103.4,1976
cze,103.3,1977
cze,103.3,1978
cze,103.4,1979
cze,104.7,1982
cze,104.6,1983
cze,102.7,1984
cze,102.5,1985
cze,102.5,1986
cze,110.0,1987
cze,110.2,1988
cze,96.32,1989
cze,93.99,1990
cze,97.96,1991
cze,107.7,1992
cze,104.8,1993
cze,100.6,1994
cze,101.7,1995
cze,101.7,1996
cze,101.7,1997
cze,102.4,1998
cze,101.9,1999
cze,100.7,2000
cze,101.4,2001
cze,101.2,2002
cze,101.0,2003
cze,100.3,2004
cze,100.4,2005
cze,100.6,2006
cze,100.5,2007
cze,100.5,2008
cze,100.5,2009
cze,100.1,2010
dnk,98.72,1978
dnk,98.73,1979
dnk,98.48,1980
dnk,99.33,1981
dnk,99.59,1982
dnk,99.19,1983
dnk,99.22,1984
dnk,99.47,1985
dnk,99.75,1986
dnk,99.95,1987
dnk,100.3,1988
dnk,100.4,1989
dnk,101.3,1990
dnk,100.8,1991
dnk,100.9,1992
dnk,101.4,1993
dnk,101.5,1994
dnk,101.8,1995
dnk,101.3,1996
dnk,102.3,1998
dnk,102.9,1999
dnk,102.4,2000
dnk,102.7,2001
dnk,102.6,2002
dnk,102.7,2003
dnk,102.3,2004
dnk,101.7,2005
dnk,101.6,2006
dnk,101.6,2007
dnk,101.7,2008
dnk,101.2,2009
dnk,100.6,2010
dji,41.63,1971
dji,49.08,1973
dji,52.39,1974
dji,54.12,1975
dji,51.47,1976
dji,67.93,1982
dji,69.32,1983
dji,69.6,1984
dji,69.38,1985
dji,69.37,1986
dji,70.7,1987
dji,71.86,1988
dji,72.24,1989
dji,71.43,1992
dji,77.6,1993
dji,76.53,1994
dji,75.34,1995
dji,74.42,1996
dji,73.49,1997
dji,71.4,1999
dji,70.98,2000
dji,70.68,2001
dji,71.52,2002
dji,73.5,2003
dji,75.27,2004
dji,75.63,2005
dji,75.83,2006
dji,79.44,2007
dji,79.99,2008
dji,81.71,2009
dji,85.2,2011
dma,107.3,1973
dma,112.8,1974
dma,112.5,1975
dma,109.3,1976
dma,114.2,1977
dma,112.5,1978
dma,113.1,1979
dma,113.9,1980
dma,111.8,1981
dma,110.9,1982
dma,110.3,1984
dma,107.1,1986
dma,106.5,1987
dma,101.8,1990
dma,100.4,1991
dma,101.4,1992
dma,105.0,1993
dma,112.8,1999
dma,105.7,2000
dma,104.3,2001
dma,105.0,2002
dma,105.7,2003
dma,103.7,2004
dma,103.6,2005
dma,102.5,2006
dma,102.1,2007
dma,100.4,2008
dma,103.7,2009
dma,103.1,2010
dma,102.7,2011
dom,104.6,1998
dom,104.9,1999
dom,104.1,2000
dom,107.1,2002
dom,107.3,2003
dom,102.6,2004
dom,103.6,2005
dom,104.0,2006
dom,103.6,2007
dom,102.9,2008
dom,96.5,2009
dom,97.28,2010
dom,98.96,2011
ecu,94.21,1971
ecu,94.28,1972
ecu,94.52,1973
