broadband_subscribers_per_100_people,geo,time
8.345,mex,2009
9.985,mex,2010
0.0,fsm,2001
0.0,fsm,2002
0.005539,fsm,2003
0.02387,fsm,2004
0.04204,fsm,2005
0.08653,fsm,2006
0.1054,fsm,2007
0.8991,fsm,2010
0.006581,mda,2001
0.01154,mda,2002
0.01652,mda,2003
0.0674,mda,2004
0.2891,mda,2005
0.6078,mda,2006
1.469,mda,2007
3.225,mda,2008
5.244,mda,2009
7.554,mda,2010
0.002013,mng,2001
0.00366,mng,2002
0.02012,mng,2003
0.03579,mng,2004
0.07066,mng,2005
0.1354,mng,2006
0.2818,mng,2007
1.219,mng,2008
1.355,mng,2009
2.602,mng,2010
0.0,mne,2004
1.223,mne,2005
2.571,mne,2007
5.44,mne,2008
8.416,mne,2009
8.291,mne,2010
0.0,mar,2001
0.00679,mar,2002
0.00911,mar,2003
0.2149,mar,2004
0.8197,mar,2005
1.276,mar,2006
1.539,mar,2007
1.545,mar,2008
1.504,mar,2009
1.561,mar,2010
0.0,moz,2001
0.0,moz,2002
0.0,moz,2003
0.0,moz,2004
0.0,moz,2005
0.02633,moz,2007
0.04563,moz,2008
0.05469,moz,2009
