geo,time,sg_gdp_p_cap_const_ppp2011_dollar
ven,1803,682.00
vnm,1803,861.00
vut,1803,586.00
wsm,1803,1401.00
yem,1803,884.00
zaf,1803,1480.00
zmb,1803,668.00
zwe,1803,872.00
afg,1804,603.00
ago,1804,628.00
alb,1804,668.00
are,1804,1013.00
arg,1804,1508.00
arm,1804,514.00
atg,1804,757.00
aus,1804,822.00
aut,1804,1878.00
aze,1804,775.00
bdi,1804,420.00
bel,1804,2414.00
ben,1804,597.00
bfa,1804,480.00
bgd,1804,876.00
bgr,1804,1090.00
bhr,1804,1256.00
bhs,1804,1446.00
bih,1804,669.00
blr,1804,609.00
blz,1804,579.00
bol,1804,854.00
bra,1804,1109.00
brb,1804,914.00
brn,1804,1513.00
btn,1804,630.00
bwa,1804,397.00
caf,1804,424.00
can,1804,1347.00
che,1804,2703.00
chl,1804,1027.00
chn,1804,985.00
civ,1804,825.00
cmr,1804,626.00
cod,1804,493.00
cog,1804,581.00
col,1804,963.00
com,1804,699.00
cpv,1804,530.00
cri,1804,775.00
cub,1804,905.00
cyp,1804,854.00
cze,1804,1917.00
deu,1804,1686.00
dji,1804,762.00
dnk,1804,2028.00
dom,1804,667.00
dza,1804,719.00
ecu,1804,530.00
egy,1804,791.00
eri,1804,532.00
esp,1804,1519.00
est,1804,942.00
eth,1804,523.00
fin,1804,1253.00
fji,1804,785.00
fra,1804,1817.00
fsm,1804,519.00
gab,1804,390.00
gbr,1804,3291.00
geo,1804,543.00
gha,1804,698.00
gin,1804,450.00
gmb,1804,815.00
gnb,1804,778.00
gnq,1804,357.00
grc,1804,1381.00
grd,1804,959.00
gtm,1804,858.00
guy,1804,1215.00
hnd,1804,675.00
hti,1804,634.00
hun,1804,1250.00
idn,1804,995.00
ind,1804,1052.00
irl,1804,1448.00
irn,1804,978.00
irq,1804,970.00
isl,1804,927.00
isr,1804,880.00
ita,1804,2433.00
jam,1804,1171.00
jor,1804,977.00
jpn,1804,1056.00
kaz,1804,1145.00
ken,1804,864.00
kgz,1804,508.00
khm,1804,904.00
kir,1804,553.00
kor,1804,573.00
kwt,1804,1114.00
lao,1804,865.00
lbn,1804,1085.00
lbr,1804,797.00
lby,1804,1050.00
lca,1804,875.00
lka,1804,899.00
lso,1804,394.00
ltu,1804,1276.00
lux,1804,1454.00
lva,1804,754.00
mar,1804,715.00
mda,1804,621.00
mdg,1804,573.00
mdv,1804,843.00
mex,1804,1380.00
mkd,1804,690.00
mli,1804,603.00
mlt,1804,782.00
mmr,1804,841.00
mne,1804,1058.00
mng,1804,592.00
moz,1804,391.00
mrt,1804,528.00
mus,1804,941.00
mwi,1804,350.00
mys,1804,998.00
nam,1804,540.00
ner,1804,446.00
nga,1804,857.00
nic,1804,974.00
nld,1804,4502.00
nor,1804,1286.00
npl,1804,655.00
nzl,1804,659.00
omn,1804,916.00
pak,1804,1021.00
pan,1804,848.00
per,1804,1205.00
phl,1804,963.00
png,1804,547.00
pol,1804,1231.00
prk,1804,576.00
prt,1804,1686.00
pry,1804,836.00
pse,1804,1221.00
qat,1804,1114.00
rou,1804,816.00
rus,1804,1437.00
rwa,1804,433.00
sau,1804,848.00
sdn,1804,519.00
sds,1804,508.00
sen,1804,497.00
sgp,1804,1022.00
slb,1804,363.00
sle,1804,734.00
slv,1804,975.00
som,1804,696.00
srb,1804,1359.00
stp,1804,857.00
sur,1804,1637.00
svk,1804,1428.00
svn,1804,1409.00
swe,1804,1358.00
swz,1804,490.00
syc,1804,804.00
syr,1804,1082.00
tcd,1804,418.00
tgo,1804,683.00
tha,1804,932.00
tjk,1804,557.00
tkm,1804,947.00
tls,1804,525.00
ton,1804,663.00
tto,1804,1231.00
tun,1804,716.00
tur,1804,1222.00
tza,1804,562.00
uga,1804,464.00
ukr,1804,767.00
ury,1804,1759.00
usa,1804,2166.00
uzb,1804,503.00
vct,1804,838.00
ven,1804,682.00
vnm,1804,861.00
vut,1804,586.00
wsm,1804,1401.00
yem,1804,887.00
zaf,1804,1481.00
zmb,1804,670.00
zwe,1804,873.00
afg,1805,603.00
ago,1805,631.00
alb,1805,668.00
are,1805,1016.00
arg,1805,1508.00
arm,1805,514.00
atg,1805,757.00
aus,1805,824.00
aut,1805,1885.00
aze,1805,776.00
bdi,1805,420.00
bel,1805,2414.00
ben,1805,597.00
bfa,1805,480.00
bgd,1805,876.00
bgr,1805,1090.00
bhr,1805,1262.00
bhs,1805,1446.00
bih,1805,669.00
blr,1805,609.00
blz,1805,579.00
bol,1805,854.00
bra,1805,1110.00
brb,1805,914.00
brn,1805,1513.00
btn,1805,630.00
bwa,1805,398.00
caf,1805,424.00
can,1805,1356.00
che,1805,2703.00
chl,1805,1027.00
chn,1805,985.00
civ,1805,829.00
cmr,1805,627.00
cod,1805,495.00
cog,1805,583.00
col,1805,963.00
com,1805,700.00
cpv,1805,530.00
cri,1805,776.00
cub,1805,916.00
cyp,1805,854.00
cze,1805,1917.00
deu,1805,1698.00
dji,1805,764.00
dnk,1805,2032.00
dom,1805,667.00
dza,1805,720.00
ecu,1805,530.00
egy,1805,791.00
eri,1805,532.00
esp,1805,1519.00
est,1805,943.00
eth,1805,523.00
fin,1805,1255.00
fji,1805,785.00
fra,1805,1821.00
fsm,1805,519.00
gab,1805,391.00
gbr,1805,3439.00
geo,1805,543.00
gha,1805,699.00
gin,1805,451.00
gmb,1805,815.00
gnb,1805,778.00
gnq,1805,358.00
grc,1805,1383.00
grd,1805,959.00
gtm,1805,858.00
guy,1805,1215.00
hnd,1805,675.00
hti,1805,634.00
hun,1805,1250.00
idn,1805,995.00
ind,1805,1052.00
irl,1805,1448.00
irn,1805,978.00
irq,1805,970.00
isl,1805,927.00
isr,1805,880.00
ita,1805,2355.00
jam,1805,1171.00
jor,1805,977.00
jpn,1805,1057.00
kaz,1805,1147.00
ken,1805,867.00
kgz,1805,508.00
khm,1805,904.00
kir,1805,553.00
kor,1805,573.00
kwt,1805,1118.00
lao,1805,865.00
lbn,1805,1086.00
lbr,1805,797.00
lby,1805,1051.00
lca,1805,875.00
lka,1805,899.00
lso,1805,394.00
ltu,1805,1277.00
lux,1805,1454.00
lva,1805,755.00
mar,1805,715.00
mda,1805,621.00
mdg,1805,573.00
mdv,1805,843.00
mex,1805,1380.00
mkd,1805,691.00
mli,1805,603.00
mlt,1805,782.00
mmr,1805,841.00
mne,1805,1058.00
mng,1805,593.00
moz,1805,392.00
mrt,1805,528.00
mus,1805,941.00
mwi,1805,350.00
mys,1805,998.00
nam,1805,541.00
ner,1805,446.00
nga,1805,859.00
nic,1805,974.00
nld,1805,4238.00
nor,1805,1288.00
npl,1805,655.00
nzl,1805,659.00
omn,1805,916.00
pak,1805,1021.00
pan,1805,848.00
per,1805,1205.00
phl,1805,963.00
png,1805,547.00
pol,1805,1236.00
prk,1805,576.00
prt,1805,1686.00
pry,1805,836.00
pse,1805,1221.00
qat,1805,1118.00
rou,1805,816.00
