basomrade,year,immigration_surplus
4240000_frosunda_forsamling,2010,4
4240000_frosunda_forsamling,2011,-8
4240000_frosunda_forsamling,2012,15
4240000_frosunda_forsamling,2013,20
4240000_frosunda_forsamling,2014,8
4250100_karsta,2000,2
4250100_karsta,2001,-15
4250100_karsta,2002,-8
4250100_karsta,2003,4
4250100_karsta,2004,-14
4250100_karsta,2005,8
4250100_karsta,2006,10
4250100_karsta,2007,-7
4250100_karsta,2008,6
4250100_karsta,2009,5
4250100_karsta,2010,-8
4250100_karsta,2011,14
4250100_karsta,2012,5
4250100_karsta,2013,-15
4250100_karsta,2014,-11
4250200_ekskogen,2000,1
4250200_ekskogen,2001,8
4250200_ekskogen,2002,-2
4250200_ekskogen,2003,-4
4250200_ekskogen,2004,-8
4250200_ekskogen,2005,-5
4250200_ekskogen,2006,-9
4250200_ekskogen,2007,6
4250200_ekskogen,2008,-10
4250200_ekskogen,2009,-2
4250200_ekskogen,2010,2
4250200_ekskogen,2011,-5
4250200_ekskogen,2012,-8
4250200_ekskogen,2013,7
4250200_ekskogen,2014,-6
4250500_karsta_glesbygd,2000,26
4250500_karsta_glesbygd,2001,23
4250500_karsta_glesbygd,2002,-2
4250500_karsta_glesbygd,2003,13
4250500_karsta_glesbygd,2004,-2
4250500_karsta_glesbygd,2005,-7
4250500_karsta_glesbygd,2006,26
4250500_karsta_glesbygd,2007,11
4250500_karsta_glesbygd,2008,12
4250500_karsta_glesbygd,2009,-11
4250500_karsta_glesbygd,2010,8
4250500_karsta_glesbygd,2011,0
4250500_karsta_glesbygd,2012,-10
4250500_karsta_glesbygd,2013,-4
4250500_karsta_glesbygd,2014,9
4260500_vada_glesbygd,2000,4
4260500_vada_glesbygd,2001,-8
4260500_vada_glesbygd,2002,-1
4260500_vada_glesbygd,2003,8
4260500_vada_glesbygd,2004,7
4260500_vada_glesbygd,2005,9
4260500_vada_glesbygd,2006,-7
4260500_vada_glesbygd,2007,4
4260500_vada_glesbygd,2008,-5
4260500_vada_glesbygd,2009,-5
4260500_vada_glesbygd,2010,9
4260500_vada_glesbygd,2011,9
4260500_vada_glesbygd,2012,2
4260500_vada_glesbygd,2013,2
4260500_vada_glesbygd,2014,0
4270100_karby,2000,11
4270100_karby,2001,4
4270100_karby,2002,-25
4270100_karby,2003,-16
4270100_karby,2004,-12
4270100_karby,2005,-16
4270100_karby,2006,10
4270100_karby,2007,30
4270100_karby,2008,-26
4270100_karby,2009,-18
4270100_karby,2010,-15
4270100_karby,2011,-14
4270100_karby,2012,-3
4270100_karby,2013,4
4270100_karby,2014,-12
4270200_brottby,2000,2
4270200_brottby,2001,-10
4270200_brottby,2002,0
4270200_brottby,2003,-1
4270200_brottby,2004,-1
4270200_brottby,2005,-3
4270200_brottby,2006,-2
4270200_brottby,2007,9
4270200_brottby,2008,-3
4270200_brottby,2009,-5
4270200_brottby,2010,2
4270200_brottby,2011,-5
4270200_brottby,2012,-4
4270200_brottby,2013,-2
4270200_brottby,2014,1
4270501_ovr_osseby_garns_glesbygd,2000,3
4270501_ovr_osseby_garns_glesbygd,2001,18
4270501_ovr_osseby_garns_glesbygd,2002,34
4270501_ovr_osseby_garns_glesbygd,2003,12
4270501_ovr_osseby_garns_glesbygd,2004,39
4270501_ovr_osseby_garns_glesbygd,2005,2
4270501_ovr_osseby_garns_glesbygd,2006,-3
4270501_ovr_osseby_garns_glesbygd,2007,-10
4270501_ovr_osseby_garns_glesbygd,2008,56
4270501_ovr_osseby_garns_glesbygd,2009,32
4270501_ovr_osseby_garns_glesbygd,2010,5
4270501_ovr_osseby_garns_glesbygd,2011,-10
4270501_ovr_osseby_garns_glesbygd,2012,23
4270501_ovr_osseby_garns_glesbygd,2013,8
4270501_ovr_osseby_garns_glesbygd,2014,-3
4270502_algeby_garns_ekskogen,2000,14
4270502_algeby_garns_ekskogen,2001,12
4270502_algeby_garns_ekskogen,2002,1
4270502_algeby_garns_ekskogen,2003,4
4270502_algeby_garns_ekskogen,2004,-3
4270502_algeby_garns_ekskogen,2005,4
4270502_algeby_garns_ekskogen,2006,1
4270502_algeby_garns_ekskogen,2007,12
4270502_algeby_garns_ekskogen,2008,5
4270502_algeby_garns_ekskogen,2009,-14
4270502_algeby_garns_ekskogen,2010,-12
4270502_algeby_garns_ekskogen,2011,8
4270502_algeby_garns_ekskogen,2012,10
4270502_algeby_garns_ekskogen,2013,7
4270502_algeby_garns_ekskogen,2014,26
4280000_angarns_forsamling,2000,-24
4280000_angarns_forsamling,2001,13
4280000_angarns_forsamling,2002,2
4280000_angarns_forsamling,2003,-7
4280000_angarns_forsamling,2004,10
4280000_angarns_forsamling,2005,9
4280000_angarns_forsamling,2006,-1
4280000_angarns_forsamling,2007,15
4280000_angarns_forsamling,2008,0
4280000_angarns_forsamling,2009,14
4280000_angarns_forsamling,2010,-5
4280000_angarns_forsamling,2011,-1
4280000_angarns_forsamling,2012,-2
4280000_angarns_forsamling,2013,12
4280000_angarns_forsamling,2014,-6
4440110_ljustero,2000,5
4440110_ljustero,2001,19
4440110_ljustero,2002,35
4440110_ljustero,2003,29
4440110_ljustero,2004,18
4440110_ljustero,2005,5
4440110_ljustero,2006,35
4440110_ljustero,2007,12
4440110_ljustero,2008,3
4440110_ljustero,2009,6
4440110_ljustero,2010,-12
4440110_ljustero,2011,5
4440110_ljustero,2012,-19
4440110_ljustero,2013,17
4440110_ljustero,2014,-2
4440120_ingmarso_m_fl_oar,2000,5
4440120_ingmarso_m_fl_oar,2001,5
4440120_ingmarso_m_fl_oar,2002,-5
4440120_ingmarso_m_fl_oar,2003,14
4440120_ingmarso_m_fl_oar,2004,-7
4440120_ingmarso_m_fl_oar,2005,7
4440120_ingmarso_m_fl_oar,2006,1
4440120_ingmarso_m_fl_oar,2007,3
