basomrade,year,cumulative_immigration_surplus_female
1140120_tre_liljor,2002,-47
1140120_tre_liljor,2003,-53
1140120_tre_liljor,2004,-41
1140120_tre_liljor,2005,-32
1140120_tre_liljor,2006,-52
1140120_tre_liljor,2007,-78
1140120_tre_liljor,2008,-77
1140120_tre_liljor,2009,-72
1140120_tre_liljor,2010,-53
1140120_tre_liljor,2011,-87
1140120_tre_liljor,2012,-45
1140120_tre_liljor,2013,-70
1140120_tre_liljor,2014,-106
1140130_matteus_kyrka,2000,41
1140130_matteus_kyrka,2001,10
1140130_matteus_kyrka,2002,11
1140130_matteus_kyrka,2003,21
1140130_matteus_kyrka,2004,-8
1140130_matteus_kyrka,2005,0
1140130_matteus_kyrka,2006,-17
1140130_matteus_kyrka,2007,-50
1140130_matteus_kyrka,2008,-45
1140130_matteus_kyrka,2009,-60
1140130_matteus_kyrka,2010,-100
1140130_matteus_kyrka,2011,-133
1140130_matteus_kyrka,2012,-151
1140130_matteus_kyrka,2013,-173
1140130_matteus_kyrka,2014,-180
1140140_halsingehojden,2000,4
1140140_halsingehojden,2001,10
1140140_halsingehojden,2002,17
1140140_halsingehojden,2003,46
1140140_halsingehojden,2004,13
1140140_halsingehojden,2005,0
1140140_halsingehojden,2006,-4
1140140_halsingehojden,2007,-20
1140140_halsingehojden,2008,-54
1140140_halsingehojden,2009,-94
1140140_halsingehojden,2010,-117
1140140_halsingehojden,2011,-114
1140140_halsingehojden,2012,-135
1140140_halsingehojden,2013,-140
1140140_halsingehojden,2014,-179
1140150_centralgaraget,2000,-16
1140150_centralgaraget,2001,-20
1140150_centralgaraget,2002,-12
1140150_centralgaraget,2003,-18
1140150_centralgaraget,2004,-28
1140150_centralgaraget,2005,4
1140150_centralgaraget,2006,-23
1140150_centralgaraget,2007,-30
1140150_centralgaraget,2008,8
1140150_centralgaraget,2009,18
1140150_centralgaraget,2010,8
1140150_centralgaraget,2011,-11
1140150_centralgaraget,2012,-27
1140150_centralgaraget,2013,-35
1140150_centralgaraget,2014,-54
1140210_okand,2000,2
1140210_okand,2001,5
1140210_okand,2002,9
1140210_okand,2003,8
1140210_okand,2004,2
1140210_okand,2005,-4
1140210_okand,2006,-12
1140210_okand,2007,-7
1140210_okand,2008,-10
1140210_okand,2009,-17
1140212_norra_station_2,2010,-1
1140212_norra_station_2,2011,-1
1140212_norra_station_2,2012,-1
1140212_norra_station_2,2013,-3
1140212_norra_station_2,2014,-10
1140220_birkagarden,2000,20
1140220_birkagarden,2001,42
1140220_birkagarden,2002,18
1140220_birkagarden,2003,10
1140220_birkagarden,2004,40
1140220_birkagarden,2005,-4
1140220_birkagarden,2006,-6
1140220_birkagarden,2007,-26
1140220_birkagarden,2008,-30
1140220_birkagarden,2009,-41
1140220_birkagarden,2010,-27
1140220_birkagarden,2011,-39
1140220_birkagarden,2012,-53
1140220_birkagarden,2013,-42
1140220_birkagarden,2014,-27
1140230_rorstrand,2000,-67
1140230_rorstrand,2001,-102
1140230_rorstrand,2002,-114
1140230_rorstrand,2003,-134
1140230_rorstrand,2004,-217
1140230_rorstrand,2005,-216
1140230_rorstrand,2006,-261
1140230_rorstrand,2007,-341
1140230_rorstrand,2008,-305
1140230_rorstrand,2009,-370
1140230_rorstrand,2010,-403
1140230_rorstrand,2011,-423
1140230_rorstrand,2012,-476
1140230_rorstrand,2013,-539
1140230_rorstrand,2014,-630
1140240_rodaberget,2000,26
1140240_rodaberget,2001,11
1140240_rodaberget,2002,23
1140240_rodaberget,2003,7
1140240_rodaberget,2004,6
1140240_rodaberget,2005,46
1140240_rodaberget,2006,55
1140240_rodaberget,2007,82
1140240_rodaberget,2008,111
1140240_rodaberget,2009,133
1140240_rodaberget,2010,173
1140240_rodaberget,2011,143
1140240_rodaberget,2012,123
1140240_rodaberget,2013,160
1140240_rodaberget,2014,156
1140250_s_t_eriksplan,2000,-19
1140250_s_t_eriksplan,2001,-19
1140250_s_t_eriksplan,2002,-22
1140250_s_t_eriksplan,2003,-32
1140250_s_t_eriksplan,2004,-55
1140250_s_t_eriksplan,2005,-43
1140250_s_t_eriksplan,2006,-53
1140250_s_t_eriksplan,2007,-90
1140250_s_t_eriksplan,2008,-121
1140250_s_t_eriksplan,2009,-115
1140250_s_t_eriksplan,2010,-123
1140250_s_t_eriksplan,2011,-119
1140250_s_t_eriksplan,2012,-139
1140250_s_t_eriksplan,2013,-139
1140250_s_t_eriksplan,2014,-149
1210110_roslagstull,2000,12
1210110_roslagstull,2001,-20
1210110_roslagstull,2002,-27
1210110_roslagstull,2003,-26
1210110_roslagstull,2004,-36
1210110_roslagstull,2005,-42
1210110_roslagstull,2006,-63
1210110_roslagstull,2007,-33
1210110_roslagstull,2008,-69
1210110_roslagstull,2009,-52
1210110_roslagstull,2010,-24
1210110_roslagstull,2011,-24
1210110_roslagstull,2012,-57
1210110_roslagstull,2013,-89
1210110_roslagstull,2014,-81
1210120_larkstaden,2000,-9
1210120_larkstaden,2001,-39
1210120_larkstaden,2002,-73
1210120_larkstaden,2003,-81
1210120_larkstaden,2004,-73
1210120_larkstaden,2005,-43
1210120_larkstaden,2006,-49
1210120_larkstaden,2007,-89
1210120_larkstaden,2008,-81
1210120_larkstaden,2009,-89
1210120_larkstaden,2010,-73
1210120_larkstaden,2011,-97
1210120_larkstaden,2012,-102
1210120_larkstaden,2013,-130
1210120_larkstaden,2014,-149
1210131_danderydsplan_v,2000,-21
1210131_danderydsplan_v,2001,-30
1210131_danderydsplan_v,2002,-20
1210131_danderydsplan_v,2003,-9
1210131_danderydsplan_v,2004,-26
1210131_danderydsplan_v,2005,-31
1210131_danderydsplan_v,2006,-46
1210131_danderydsplan_v,2007,-56
1210131_danderydsplan_v,2008,-42
1210131_danderydsplan_v,2009,-52
1210131_danderydsplan_v,2010,-53
1210131_danderydsplan_v,2011,-67
1210131_danderydsplan_v,2012,-83
1210131_danderydsplan_v,2013,-75
1210131_danderydsplan_v,2014,-23
1210132_danderydsplan_o,2000,22
1210132_danderydsplan_o,2001,27
1210132_danderydsplan_o,2002,10
1210132_danderydsplan_o,2003,0
1210132_danderydsplan_o,2004,22
1210132_danderydsplan_o,2005,5
1210132_danderydsplan_o,2006,11
1210132_danderydsplan_o,2007,14
1210132_danderydsplan_o,2008,18
1210132_danderydsplan_o,2009,18
1210132_danderydsplan_o,2010,0
1210132_danderydsplan_o,2011,19
1210132_danderydsplan_o,2012,23
1210132_danderydsplan_o,2013,13
1210132_danderydsplan_o,2014,20
1210140_eriksberg,2000,2
1210140_eriksberg,2001,-8
1210140_eriksberg,2002,-9
1210140_eriksberg,2003,-19
1210140_eriksberg,2004,-15
1210140_eriksberg,2005,-5
1210140_eriksberg,2006,-7
1210140_eriksberg,2007,-26
1210140_eriksberg,2008,-14
1210140_eriksberg,2009,19
1210140_eriksberg,2010,25
1210140_eriksberg,2011,30
1210140_eriksberg,2012,25
1210140_eriksberg,2013,3
1210140_eriksberg,2014,7
1210151_stureplan_o,2000,-3
1210151_stureplan_o,2001,-4
1210151_stureplan_o,2002,-8
1210151_stureplan_o,2003,-3
1210151_stureplan_o,2004,-6
1210151_stureplan_o,2005,-12
1210151_stureplan_o,2006,-27
1210151_stureplan_o,2007,-23
1210151_stureplan_o,2008,-28
1210151_stureplan_o,2009,-21
1210151_stureplan_o,2010,-29
1210151_stureplan_o,2011,-31
1210151_stureplan_o,2012,-28
1210151_stureplan_o,2013,-31
1210151_stureplan_o,2014,-27
1210161_humlegarden_o,2000,5
1210161_humlegarden_o,2001,7
1210161_humlegarden_o,2002,16
1210161_humlegarden_o,2003,9
1210161_humlegarden_o,2004,16
1210161_humlegarden_o,2005,6
1210161_humlegarden_o,2006,13
1210161_humlegarden_o,2007,14
1210161_humlegarden_o,2008,-1
1210161_humlegarden_o,2009,1
1210161_humlegarden_o,2010,-6
1210161_humlegarden_o,2011,-17
1210161_humlegarden_o,2012,-19
1210161_humlegarden_o,2013,2
