basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64
1210210_roslagstulls_sjukhus,2012,-313
1210210_roslagstulls_sjukhus,2013,-351
1210210_roslagstulls_sjukhus,2014,-356
1210220_ostra_station,2000,-85
1210220_ostra_station,2001,-159
1210220_ostra_station,2002,-228
1210220_ostra_station,2003,-379
1210220_ostra_station,2004,-436
1210220_ostra_station,2005,-471
1210220_ostra_station,2006,-571
1210220_ostra_station,2007,-721
1210220_ostra_station,2008,-808
1210220_ostra_station,2009,-889
1210220_ostra_station,2010,-936
1210220_ostra_station,2011,-1008
1210220_ostra_station,2012,-1060
1210220_ostra_station,2013,-1127
1210220_ostra_station,2014,-1197
1210320_ekhagen,2000,-124
1210320_ekhagen,2001,-296
1210320_ekhagen,2002,-449
1210320_ekhagen,2003,-673
1210320_ekhagen,2004,-893
1210320_ekhagen,2005,-1101
1210320_ekhagen,2006,-1347
1210320_ekhagen,2007,-1561
