basomrade,year,higher_education_min_3_years_percent_of_population_aged_25_64_male
5423400_solsidan,2000,0.55524
5423400_solsidan,2001,0.55966
5423400_solsidan,2002,0.53719
5423400_solsidan,2003,0.54645
5423400_solsidan,2004,0.53867
5423400_solsidan,2005,0.52561
5423400_solsidan,2006,0.53533
5423400_solsidan,2007,0.54762
5423400_solsidan,2008,0.56216
5423400_solsidan,2009,0.5664
5423400_solsidan,2010,0.57143
5423400_solsidan,2011,0.58496
5423400_solsidan,2012,0.56851
5423400_solsidan,2013,0.54775
5423400_solsidan,2014,0.55135
5423500_algo,2000,0.3121
5423500_algo,2001,0.31928
5423500_algo,2002,0.30337
5423500_algo,2003,0.3262
5423500_algo,2004,0.33684
5423500_algo,2005,0.34574
5423500_algo,2006,0.31771
5423500_algo,2007,0.32323
5423500_algo,2008,0.32212
5423500_algo,2009,0.29767
5423500_algo,2010,0.30698
5423500_algo,2011,0.32864
5423500_algo,2012,0.29907
5423500_algo,2013,0.3
5423500_algo,2014,0.30631
5432000_norra_bjorknas,2000,0.18681
5432000_norra_bjorknas,2001,0.19372
5432000_norra_bjorknas,2002,0.20619
5432000_norra_bjorknas,2003,0.21875
5432000_norra_bjorknas,2004,0.20588
5432000_norra_bjorknas,2005,0.22897
5432000_norra_bjorknas,2006,0.24336
5432000_norra_bjorknas,2007,0.28632
5432000_norra_bjorknas,2008,0.29362
5432000_norra_bjorknas,2009,0.30894
5432000_norra_bjorknas,2010,0.31765
5432000_norra_bjorknas,2011,0.33585
5432000_norra_bjorknas,2012,0.34815
5432000_norra_bjorknas,2013,0.35612
5432000_norra_bjorknas,2014,0.35662
5432020_sodra_bjorknas,2000,0.22945
5432020_sodra_bjorknas,2001,0.23917
5432020_sodra_bjorknas,2002,0.25388
5432020_sodra_bjorknas,2003,0.24521
5432020_sodra_bjorknas,2004,0.25234
5432020_sodra_bjorknas,2005,0.26
5432020_sodra_bjorknas,2006,0.26838
5432020_sodra_bjorknas,2007,0.28947
5432020_sodra_bjorknas,2008,0.29217
5432020_sodra_bjorknas,2009,0.29138
5432020_sodra_bjorknas,2010,0.30648
5432020_sodra_bjorknas,2011,0.32099
5432020_sodra_bjorknas,2012,0.32143
5432020_sodra_bjorknas,2013,0.32504
5432020_sodra_bjorknas,2014,0.31261
5432030_klinten,2000,0.1841
5432030_klinten,2001,0.21224
5432030_klinten,2002,0.2
5432030_klinten,2003,0.21186
5432030_klinten,2004,0.21849
5432030_klinten,2005,0.20085
5432030_klinten,2006,0.23529
5432030_klinten,2007,0.22642
5432030_klinten,2008,0.23982
5432030_klinten,2009,0.22326
5432030_klinten,2010,0.22973
5432030_klinten,2011,0.22581
5432030_klinten,2012,0.20725
5432030_klinten,2013,0.21739
5432030_klinten,2014,0.21633
5432100_eknas,2000,0.27483
5432100_eknas,2001,0.27318
5432100_eknas,2002,0.28067
5432100_eknas,2003,0.29744
5432100_eknas,2004,0.30993
5432100_eknas,2005,0.32721
5432100_eknas,2006,0.32125
5432100_eknas,2007,0.30669
5432100_eknas,2008,0.31908
5432100_eknas,2009,0.32841
5432100_eknas,2010,0.3438
5432100_eknas,2011,0.34375
5432100_eknas,2012,0.34789
5432100_eknas,2013,0.35241
5432100_eknas,2014,0.37482
5432200_vastra_kummelnas,2000,0.25658
5432200_vastra_kummelnas,2001,0.26048
5432200_vastra_kummelnas,2002,0.27327
5432200_vastra_kummelnas,2003,0.28446
5432200_vastra_kummelnas,2004,0.31792
5432200_vastra_kummelnas,2005,0.31728
5432200_vastra_kummelnas,2006,0.30769
5432200_vastra_kummelnas,2007,0.31339
5432200_vastra_kummelnas,2008,0.30685
5432200_vastra_kummelnas,2009,0.30749
5432200_vastra_kummelnas,2010,0.33333
5432200_vastra_kummelnas,2011,0.34584
5432200_vastra_kummelnas,2012,0.3489
5432200_vastra_kummelnas,2013,0.34204
5432200_vastra_kummelnas,2014,0.325
5432220_ostra_kummelnas,2000,0.22355
5432220_ostra_kummelnas,2001,0.23327
5432220_ostra_kummelnas,2002,0.25451
5432220_ostra_kummelnas,2003,0.26679
5432220_ostra_kummelnas,2004,0.27395
5432220_ostra_kummelnas,2005,0.27916
5432220_ostra_kummelnas,2006,0.27672
5432220_ostra_kummelnas,2007,0.27514
5432220_ostra_kummelnas,2008,0.27757
5432220_ostra_kummelnas,2009,0.29799
5432220_ostra_kummelnas,2010,0.31103
5432220_ostra_kummelnas,2011,0.31643
5432220_ostra_kummelnas,2012,0.31271
5432220_ostra_kummelnas,2013,0.32328
5432220_ostra_kummelnas,2014,0.31847
5432300_kil,2000,0.21538
5432300_kil,2001,0.2
5432300_kil,2002,0.22652
5432300_kil,2003,0.2246
5432300_kil,2004,0.23834
5432300_kil,2005,0.25871
5432300_kil,2006,0.26471
5432300_kil,2007,0.28079
5432300_kil,2008,0.27143
5432300_kil,2009,0.25926
5432300_kil,2010,0.24299
5432300_kil,2011,0.24775
5432300_kil,2012,0.25217
5432300_kil,2013,0.26496
5432300_kil,2014,0.26556
5432400_krokhojden,2000,0.23735
