basomrade,year,mean_income_aged_lt_20_male
4210510_vallentuna_glesbygd_v,2000,254771.89
4210510_vallentuna_glesbygd_v,2001,251208.25
4210510_vallentuna_glesbygd_v,2002,273568.89
4210510_vallentuna_glesbygd_v,2003,258337.83
4210510_vallentuna_glesbygd_v,2004,252584.07
4210510_vallentuna_glesbygd_v,2005,268960.17
4210510_vallentuna_glesbygd_v,2006,267878.64
4210510_vallentuna_glesbygd_v,2007,284239.32
4210510_vallentuna_glesbygd_v,2008,294946.95
4210510_vallentuna_glesbygd_v,2009,297976.81
4210510_vallentuna_glesbygd_v,2010,318514.24
4210510_vallentuna_glesbygd_v,2011,317690.5
4210510_vallentuna_glesbygd_v,2012,328616.11
4210510_vallentuna_glesbygd_v,2013,317848.36
4210510_vallentuna_glesbygd_v,2014,329179.24
4210530_vallentuna_glesbygd_no,2000,220409.98
4210530_vallentuna_glesbygd_no,2001,233368.72
4210530_vallentuna_glesbygd_no,2002,239309.53
4210530_vallentuna_glesbygd_no,2003,252021.84
4210530_vallentuna_glesbygd_no,2004,251314.08
4210530_vallentuna_glesbygd_no,2005,258121.33
4210530_vallentuna_glesbygd_no,2006,284393.01
4210530_vallentuna_glesbygd_no,2007,309545.98
4210530_vallentuna_glesbygd_no,2008,328121.51
4210530_vallentuna_glesbygd_no,2009,331535.01
4210530_vallentuna_glesbygd_no,2010,339758.74
4210530_vallentuna_glesbygd_no,2011,358466.88
4210530_vallentuna_glesbygd_no,2012,391330.53
4210530_vallentuna_glesbygd_no,2013,417643.52
4210530_vallentuna_glesbygd_no,2014,414821.02
4210540_okand,2000,180372.76
4210540_okand,2001,180602.87
4210540_okand,2002,203163.62
4210540_okand,2003,216402.21
4210540_okand,2004,217289.79
4210540_okand,2005,218076.58
4210540_okand,2006,253546.93
4210540_okand,2007,239684.47
4210540_okand,2008,262159.16
4210540_okand,2009,259728.99
4220000_markims_forsamling,2000,207527.25
4220000_markims_forsamling,2001,242677.11
4220000_markims_forsamling,2002,240165.97
4220000_markims_forsamling,2003,243655.36
4220000_markims_forsamling,2004,252382.54
4220000_markims_forsamling,2005,253363.42
4220000_markims_forsamling,2006,256327.22
4220000_markims_forsamling,2007,255798.18
4220000_markims_forsamling,2008,284245.74
4220000_markims_forsamling,2009,295561.46
4220000_markims_forsamling,2010,312062.53
4220000_markims_forsamling,2011,305435.72
4220000_markims_forsamling,2012,313784.31
4220000_markims_forsamling,2013,322340.83
4220000_markims_forsamling,2014,315668.39
4230100_lindholmen,2000,289754.39
4230100_lindholmen,2001,297166.87
4230100_lindholmen,2002,317164.5
4230100_lindholmen,2003,315925.57
