basomrade,year,employment_rate_aged_20_64_male
4210530_vallentuna_glesbygd_no,2011,0.86335
4210530_vallentuna_glesbygd_no,2012,0.91875
4210530_vallentuna_glesbygd_no,2013,0.93529
4210530_vallentuna_glesbygd_no,2014,0.8973
4210540_okand,2000,0.81034
4210540_okand,2001,0.79365
4210540_okand,2002,0.76923
4210540_okand,2003,0.76119
4210540_okand,2004,0.69014
4210540_okand,2005,0.74576
4210540_okand,2006,0.74545
4210540_okand,2007,0.79592
4210540_okand,2008,0.76271
4210540_okand,2009,0.72308
4220000_markims_forsamling,2000,0.88421
4220000_markims_forsamling,2001,0.89362
4220000_markims_forsamling,2002,0.92308
4220000_markims_forsamling,2003,0.91111
4220000_markims_forsamling,2004,0.88889
4220000_markims_forsamling,2005,0.83505
4220000_markims_forsamling,2006,0.81915
4220000_markims_forsamling,2007,0.8617
4220000_markims_forsamling,2008,0.84946
4220000_markims_forsamling,2009,0.84444
4220000_markims_forsamling,2010,0.85556
4220000_markims_forsamling,2011,0.87368
4220000_markims_forsamling,2012,0.87629
4220000_markims_forsamling,2013,0.84848
4220000_markims_forsamling,2014,0.87
4230100_lindholmen,2000,0.87826
4230100_lindholmen,2001,0.88889
4230100_lindholmen,2002,0.90517
4230100_lindholmen,2003,0.87069
4230100_lindholmen,2004,0.86695
4230100_lindholmen,2005,0.91064
4230100_lindholmen,2006,0.91983
4230100_lindholmen,2007,0.93644
4230100_lindholmen,2008,0.92771
4230100_lindholmen,2009,0.92593
4230100_lindholmen,2010,0.92946
4230100_lindholmen,2011,0.91701
4230100_lindholmen,2012,0.90083
4230100_lindholmen,2013,0.908
4230100_lindholmen,2014,0.88446
4230500_okand,2000,0.88043
4230500_okand,2001,0.89247
4230500_okand,2002,0.84783
4230500_okand,2003,0.82979
4230500_okand,2004,0.88506
4230500_okand,2005,0.88235
4230500_okand,2006,0.9186
4230500_okand,2007,0.90217
4230500_okand,2008,0.94737
4230500_okand,2009,0.90722
4240000_frosunda_forsamling,2000,0.84571
4240000_frosunda_forsamling,2001,0.85455
4240000_frosunda_forsamling,2002,0.87647
4240000_frosunda_forsamling,2003,0.87222
4240000_frosunda_forsamling,2004,0.86813
4240000_frosunda_forsamling,2005,0.84324
4240000_frosunda_forsamling,2006,0.87895
4240000_frosunda_forsamling,2007,0.89055
4240000_frosunda_forsamling,2008,0.90355
4240000_frosunda_forsamling,2009,0.89806
4240000_frosunda_forsamling,2010,0.90909
4240000_frosunda_forsamling,2011,0.89109
4240000_frosunda_forsamling,2012,0.87678
4240000_frosunda_forsamling,2013,0.88128
4240000_frosunda_forsamling,2014,0.88288
4250100_karsta,2000,0.77869
4250100_karsta,2001,0.78226
4250100_karsta,2002,0.825
4250100_karsta,2003,0.78992
4250100_karsta,2004,0.80172
4250100_karsta,2005,0.81197
4250100_karsta,2006,0.80702
4250100_karsta,2007,0.81513
4250100_karsta,2008,0.81746
4250100_karsta,2009,0.82707
4250100_karsta,2010,0.83803
4250100_karsta,2011,0.82237
4250100_karsta,2012,0.82209
4250100_karsta,2013,0.84828
4250100_karsta,2014,0.85714
4250200_ekskogen,2000,0.90323
4250200_ekskogen,2001,0.92063
4250200_ekskogen,2002,0.90625
4250200_ekskogen,2003,0.89831
4250200_ekskogen,2004,0.92727
4250200_ekskogen,2005,0.90741
4250200_ekskogen,2006,0.92453
4250200_ekskogen,2007,0.87273
4250200_ekskogen,2008,0.94643
4250200_ekskogen,2009,0.92857
4250200_ekskogen,2010,0.91379
4250200_ekskogen,2011,0.91071
4250200_ekskogen,2012,0.91071
4250200_ekskogen,2013,0.85
4250200_ekskogen,2014,0.91071
4250500_karsta_glesbygd,2000,0.84946
4250500_karsta_glesbygd,2001,0.84264
4250500_karsta_glesbygd,2002,0.8209
4250500_karsta_glesbygd,2003,0.865
4250500_karsta_glesbygd,2004,0.83415
4250500_karsta_glesbygd,2005,0.81905
4250500_karsta_glesbygd,2006,0.84753
4250500_karsta_glesbygd,2007,0.8412
4250500_karsta_glesbygd,2008,0.85654
4250500_karsta_glesbygd,2009,0.86441
4250500_karsta_glesbygd,2010,0.86864
4250500_karsta_glesbygd,2011,0.85246
4250500_karsta_glesbygd,2012,0.85597
4250500_karsta_glesbygd,2013,0.82937
4250500_karsta_glesbygd,2014,0.84556
4260500_vada_glesbygd,2000,0.8
4260500_vada_glesbygd,2001,0.78125
4260500_vada_glesbygd,2002,0.78333
4260500_vada_glesbygd,2003,0.76562
4260500_vada_glesbygd,2004,0.80303
4260500_vada_glesbygd,2005,0.76812
4260500_vada_glesbygd,2006,0.86957
4260500_vada_glesbygd,2007,0.88406
4260500_vada_glesbygd,2008,0.87692
4260500_vada_glesbygd,2009,0.85
4260500_vada_glesbygd,2010,0.8
4260500_vada_glesbygd,2011,0.91429
4260500_vada_glesbygd,2012,0.94595
4260500_vada_glesbygd,2013,0.89474
4260500_vada_glesbygd,2014,0.8481
4270100_karby,2000,0.86603
4270100_karby,2001,0.8806
4270100_karby,2002,0.88265
4270100_karby,2003,0.89529
4270100_karby,2004,0.92021
4270100_karby,2005,0.88482
4270100_karby,2006,0.89637
4270100_karby,2007,0.90521
4270100_karby,2008,0.90865
