basomrade,year,immigration_surplus_male
4280000_angarns_forsamling,2004,3
4280000_angarns_forsamling,2005,5
4280000_angarns_forsamling,2006,-3
4280000_angarns_forsamling,2007,4
4280000_angarns_forsamling,2008,4
4280000_angarns_forsamling,2009,6
4280000_angarns_forsamling,2010,2
4280000_angarns_forsamling,2011,-4
4280000_angarns_forsamling,2012,-2
4280000_angarns_forsamling,2013,10
4280000_angarns_forsamling,2014,0
4440110_ljustero,2000,2
4440110_ljustero,2001,8
4440110_ljustero,2002,19
4440110_ljustero,2003,19
4440110_ljustero,2004,9
4440110_ljustero,2005,10
4440110_ljustero,2006,10
4440110_ljustero,2007,-6
4440110_ljustero,2008,-7
4440110_ljustero,2009,19
4440110_ljustero,2010,3
4440110_ljustero,2011,-6
4440110_ljustero,2012,1
4440110_ljustero,2013,6
4440110_ljustero,2014,-2
4440120_ingmarso_m_fl_oar,2000,2
4440120_ingmarso_m_fl_oar,2001,1
4440120_ingmarso_m_fl_oar,2002,1
4440120_ingmarso_m_fl_oar,2003,9
4440120_ingmarso_m_fl_oar,2004,0
4440120_ingmarso_m_fl_oar,2005,5
4440120_ingmarso_m_fl_oar,2006,0
4440120_ingmarso_m_fl_oar,2007,0
4440120_ingmarso_m_fl_oar,2008,-1
