basomrade,year,immigration_surplus_female
4210320_ostra_ormsta,2007,-9
4210320_ostra_ormsta,2008,12
4210320_ostra_ormsta,2009,-6
4210320_ostra_ormsta,2010,16
4210320_ostra_ormsta,2011,-2
4210320_ostra_ormsta,2012,-3
4210320_ostra_ormsta,2013,6
4210320_ostra_ormsta,2014,2
4210330_vastra_ormsta,2000,1
4210330_vastra_ormsta,2001,-29
4210330_vastra_ormsta,2002,-17
4210330_vastra_ormsta,2003,-4
4210330_vastra_ormsta,2004,-14
4210330_vastra_ormsta,2005,-7
4210330_vastra_ormsta,2006,10
4210330_vastra_ormsta,2007,-20
4210330_vastra_ormsta,2008,1
4210330_vastra_ormsta,2009,-14
4210330_vastra_ormsta,2010,15
4210330_vastra_ormsta,2011,-2
4210330_vastra_ormsta,2012,-40
4210330_vastra_ormsta,2013,12
4210330_vastra_ormsta,2014,-2
4210340_aby_bostadsomr,2000,9
4210340_aby_bostadsomr,2001,5
4210340_aby_bostadsomr,2002,-28
4210340_aby_bostadsomr,2003,-29
4210340_aby_bostadsomr,2004,6
4210340_aby_bostadsomr,2005,-4
4210340_aby_bostadsomr,2006,-25
4210340_aby_bostadsomr,2007,-14
4210340_aby_bostadsomr,2008,-18
4210340_aby_bostadsomr,2009,4
4210340_aby_bostadsomr,2010,55
4210340_aby_bostadsomr,2011,26
4210340_aby_bostadsomr,2012,-8
4210340_aby_bostadsomr,2013,-5
4210340_aby_bostadsomr,2014,-7
4210410_vastra_ballsta,2000,76
4210410_vastra_ballsta,2001,-1
4210410_vastra_ballsta,2002,42
4210410_vastra_ballsta,2003,18
4210410_vastra_ballsta,2004,-18
4210410_vastra_ballsta,2005,-2
4210410_vastra_ballsta,2006,16
4210410_vastra_ballsta,2007,-17
4210410_vastra_ballsta,2008,-4
4210410_vastra_ballsta,2009,11
4210410_vastra_ballsta,2010,72
4210410_vastra_ballsta,2011,50
4210410_vastra_ballsta,2012,13
4210410_vastra_ballsta,2013,-8
4210410_vastra_ballsta,2014,39
4210420_kragstalund,2000,-17
4210420_kragstalund,2001,-1
4210420_kragstalund,2002,8
4210420_kragstalund,2003,47
4210420_kragstalund,2004,77
4210420_kragstalund,2005,143
4210420_kragstalund,2006,59
4210420_kragstalund,2007,47
4210420_kragstalund,2008,-20
4210420_kragstalund,2009,-4
4210420_kragstalund,2010,-33
4210420_kragstalund,2011,-20
4210420_kragstalund,2012,-2
4210420_kragstalund,2013,-12
4210420_kragstalund,2014,-25
4210430_ballstaberg,2000,38
4210430_ballstaberg,2001,47
4210430_ballstaberg,2002,40
4210430_ballstaberg,2003,38
4210430_ballstaberg,2004,78
4210430_ballstaberg,2005,65
4210430_ballstaberg,2006,48
4210430_ballstaberg,2007,38
4210430_ballstaberg,2008,53
4210430_ballstaberg,2009,78
4210430_ballstaberg,2010,1
4210430_ballstaberg,2011,39
4210430_ballstaberg,2012,0
4210430_ballstaberg,2013,10
4210430_ballstaberg,2014,12
4210440_okand,2000,-23
4210440_okand,2001,2
4210440_okand,2002,-30
4210440_okand,2003,-11
4210440_okand,2004,1
4210440_okand,2005,-10
4210440_okand,2006,-21
4210440_okand,2007,-17
4210440_okand,2008,-2
4210440_okand,2009,-17
4210510_vallentuna_glesbygd_v,2000,2
4210510_vallentuna_glesbygd_v,2001,-4
4210510_vallentuna_glesbygd_v,2002,-4
4210510_vallentuna_glesbygd_v,2003,5
4210510_vallentuna_glesbygd_v,2004,10
4210510_vallentuna_glesbygd_v,2005,-4
4210510_vallentuna_glesbygd_v,2006,6
4210510_vallentuna_glesbygd_v,2007,0
4210510_vallentuna_glesbygd_v,2008,1
4210510_vallentuna_glesbygd_v,2009,3
4210510_vallentuna_glesbygd_v,2010,-23
4210510_vallentuna_glesbygd_v,2011,11
4210510_vallentuna_glesbygd_v,2012,10
4210510_vallentuna_glesbygd_v,2013,-3
4210510_vallentuna_glesbygd_v,2014,8
4210530_vallentuna_glesbygd_no,2000,1
4210530_vallentuna_glesbygd_no,2001,6
4210530_vallentuna_glesbygd_no,2002,4
4210530_vallentuna_glesbygd_no,2003,14
4210530_vallentuna_glesbygd_no,2004,-2
4210530_vallentuna_glesbygd_no,2005,-8
4210530_vallentuna_glesbygd_no,2006,1
4210530_vallentuna_glesbygd_no,2007,12
4210530_vallentuna_glesbygd_no,2008,-1
4210530_vallentuna_glesbygd_no,2009,10
4210530_vallentuna_glesbygd_no,2010,23
4210530_vallentuna_glesbygd_no,2011,19
4210530_vallentuna_glesbygd_no,2012,-2
4210530_vallentuna_glesbygd_no,2013,34
4210530_vallentuna_glesbygd_no,2014,7
4210540_okand,2000,5
4210540_okand,2001,0
4210540_okand,2002,-4
4210540_okand,2003,3
4210540_okand,2004,-1
4210540_okand,2005,-5
4210540_okand,2006,-6
4210540_okand,2007,-10
4210540_okand,2008,12
4210540_okand,2009,0
4220000_markims_forsamling,2000,6
4220000_markims_forsamling,2001,-2
4220000_markims_forsamling,2002,4
4220000_markims_forsamling,2003,-10
4220000_markims_forsamling,2004,2
4220000_markims_forsamling,2005,1
4220000_markims_forsamling,2006,-10
4220000_markims_forsamling,2007,-12
4220000_markims_forsamling,2008,1
4220000_markims_forsamling,2009,3
4220000_markims_forsamling,2010,1
4220000_markims_forsamling,2011,-7
4220000_markims_forsamling,2012,4
4220000_markims_forsamling,2013,-5
4220000_markims_forsamling,2014,-2
4230100_lindholmen,2000,0
4230100_lindholmen,2001,-6
4230100_lindholmen,2002,0
4230100_lindholmen,2003,2
