municipality2011,year,population
wc011,2011,67146.7936
wc012,2011,49767.80588
wc013,2011,61896.75796
wc014,2011,99192.87595
wc015,2011,113762.1294
wc022,2011,115945.9428
wc023,2011,251261.9731
wc024,2011,155732.5852
wc025,2011,166825.381
wc026,2011,97724.40105
wc034,2011,35915.96874
wc031,2011,108790.34
wc032,2011,80431.70892
wc033,2011,33037.81549
wc041,2011,24766.71704
wc042,2011,52642.06555
wc043,2011,89430.40441
wc044,2011,193671.7253
wc045,2011,95933.48932
wc047,2011,49161.86641
wc048,2011,68658.58182
wc051,2011,8289.20532
wc052,2011,13135.74558
wc053,2011,49586.01802
cpt,2011,3740026.033
